numin	numax	Nnu	2.41798343e+13	1.20899171e+16	40	log
rmin	rmax	Nr	4.00000000e-01	1.00000000e+02	150	log

m=0, nu=2.41798343e+136.59659033e-24	1.34422148e-23	2.05462749e-23	2.79185271e-23	3.55690962e-23	4.35084892e-23	5.17476098e-23	6.02977732e-23	6.91707219e-23	7.83786417e-23	8.79341784e-23	9.78504552e-23	1.08141091e-22	1.18820218e-22	1.29902503e-22	1.41403166e-22	1.53338001e-22	1.65723399e-22	1.78576371e-22	1.91914567e-22	2.05756306e-22	2.20120598e-22	2.35027169e-22	2.50496493e-22	2.66549814e-22	2.83209179e-22	3.00497467e-22	3.18438422e-22	3.37056683e-22	9.87156769e-09	2.01158063e-08	4.07763506e-08	7.20358219e-08	1.04475399e-07	1.48114896e-07	2.03166919e-07	2.60297264e-07	3.29504228e-07	4.11034106e-07	4.95641896e-07	5.93307403e-07	7.04314692e-07	8.19512723e-07	9.48866526e-07	1.09270246e-06	1.24196849e-06	1.40661927e-06	1.57748594e-06	1.76470596e-06	1.96868622e-06	2.18036714e-06	2.40988373e-06	2.64806503e-06	2.90523674e-06	3.18190297e-06	3.46901389e-06	3.77690280e-06	4.09641511e-06	4.43808417e-06	4.79265190e-06	5.17085768e-06	5.57337542e-06	5.99108899e-06	6.43476286e-06	6.89518629e-06	7.38334166e-06	7.90005522e-06	8.43627572e-06	9.00302718e-06	9.59117462e-06	1.02119740e-05	1.08562098e-05	1.15353782e-05	1.22505715e-05	1.29927647e-05	1.37735243e-05	1.45837591e-05	1.54245819e-05	1.62971473e-05	1.72026538e-05	1.81423449e-05	1.91175112e-05	2.01294919e-05	2.11796769e-05	2.22695084e-05	2.34004831e-05	2.45741544e-05	2.57921340e-05	2.70560947e-05	2.83677724e-05	2.97289685e-05	3.11415524e-05	3.26074641e-05	3.41287168e-05	3.57073998e-05	3.73456811e-05	3.90458108e-05	4.08101236e-05	4.26410427e-05	4.45410825e-05	4.65128526e-05	4.85590608e-05	5.06825173e-05	5.28861385e-05	5.51729507e-05	5.75460944e-05	6.00088290e-05	6.25645366e-05	6.52167272e-05	6.79690431e-05	7.08252643e-05	7.37893134e-05	7.68652611e-05	8.00573318e-05	8.33699095e-05	8.68075433e-05	9.03749546e-05	9.40770426e-05	9.79188916e-05	1.01905778e-04	1.06043177e-04	1.10336771e-04	1.14792456e-04	1.19416352e-04	1.24214810e-04	1.29194418e-04	1.34362017e-04	1.39724702e-04	1.45289839e-04	1.51065071e-04	1.57058329e-04	1.63277844e-04	1.69732158e-04	1.76430135e-04	1.83380974e-04	1.90594220e-04	1.98079780e-04	2.05847935e-04	2.13909353e-04	2.22275105e-04	2.30956681e-04	2.39966003e-04	2.49315444e-04	2.59017845e-04	2.69086531e-04	2.79535329e-04	2.90378589e-04	3.01631204e-04	3.13308627e-04	3.25426895e-04
m=1, nu=2.83568300e+131.54722641e-23	3.15286362e-23	4.81911677e-23	6.54827422e-23	8.34271073e-23	1.02048907e-22	1.21373716e-22	1.41428074e-22	1.62239524e-22	1.83836646e-22	2.06249101e-22	2.29507671e-22	2.53644296e-22	2.78692126e-22	3.04685561e-22	3.31660298e-22	3.59653385e-22	3.88703264e-22	4.18849834e-22	4.50134495e-22	4.82600213e-22	5.16291575e-22	5.51254851e-22	5.87538060e-22	6.25191030e-22	6.64265473e-22	7.04815052e-22	7.46895457e-22	7.90564479e-22	1.35580358e-08	2.76279139e-08	5.60060858e-08	9.89452291e-08	1.43505409e-07	2.03453856e-07	2.79084114e-07	3.57569562e-07	4.52650627e-07	5.64666878e-07	6.80911961e-07	8.15103058e-07	9.67631437e-07	1.12591806e-06	1.30366150e-06	1.50131100e-06	1.70642216e-06	1.93268064e-06	2.16748081e-06	2.42476023e-06	2.70507863e-06	2.99597959e-06	3.31139825e-06	3.63872458e-06	3.99215628e-06	4.37238661e-06	4.76697137e-06	5.19011936e-06	5.62924201e-06	6.09882344e-06	6.58613248e-06	7.10593682e-06	7.65916302e-06	8.23327458e-06	8.84307410e-06	9.47589474e-06	1.01468389e-05	1.08570425e-05	1.15940577e-05	1.23730443e-05	1.31814393e-05	1.40347215e-05	1.49202167e-05	1.58537345e-05	1.68367764e-05	1.78569300e-05	1.89301015e-05	2.00437874e-05	2.11995170e-05	2.23988777e-05	2.36435166e-05	2.49351431e-05	2.62755309e-05	2.76665210e-05	2.91100237e-05	3.06080214e-05	3.21625715e-05	3.37758088e-05	3.54499490e-05	3.71872913e-05	3.89902216e-05	4.08612160e-05	4.28028442e-05	4.48177725e-05	4.69087684e-05	4.90787034e-05	5.13305576e-05	5.36674238e-05	5.60925112e-05	5.86091504e-05	6.12207976e-05	6.39310396e-05	6.67435985e-05	6.96623369e-05	7.26912635e-05	7.58345379e-05	7.90964770e-05	8.24815607e-05	8.59944379e-05	8.96399330e-05	9.34230527e-05	9.73489925e-05	1.01423144e-04	1.05651103e-04	1.10038676e-04	1.14591888e-04	1.19316992e-04	1.24220479e-04	1.29309081e-04	1.34589789e-04	1.40069853e-04	1.45756800e-04	1.51658441e-04	1.57782880e-04	1.64138529e-04	1.70734116e-04	1.77578699e-04	1.84681678e-04	1.92052809e-04	1.99702214e-04	2.07640399e-04	2.15878266e-04	2.24427129e-04	2.33298727e-04	2.42505246e-04	2.52059329e-04	2.61974098e-04	2.72263168e-04	2.82940670e-04	2.94021269e-04	3.05520182e-04	3.17453202e-04	3.29836716e-04	3.42687732e-04	3.56023899e-04	3.69863532e-04	3.84225639e-04	3.99129942e-04	4.14596913e-04	4.30647791e-04	4.47304622e-04
m=2, nu=3.32553895e+131.81450524e-23	3.69751160e-23	5.65160510e-23	7.67946945e-23	9.78388962e-23	1.19677558e-22	1.42340671e-22	1.65859361e-22	1.90265927e-22	2.15593889e-22	2.41878031e-22	2.69154450e-22	2.97460607e-22	3.26835377e-22	3.57319101e-22	3.88953645e-22	4.21782456e-22	4.55850617e-22	4.91204918e-22	5.27893913e-22	5.65967989e-22	6.05479435e-22	6.46482515e-22	6.89033542e-22	7.33190952e-22	7.79015391e-22	8.26569792e-22	8.75919464e-22	9.27132182e-22	1.86116251e-08	3.79258753e-08	7.68855947e-08	1.35841143e-07	1.97022378e-07	2.79338623e-07	3.83195735e-07	4.90973656e-07	6.21550094e-07	7.75393635e-07	9.35045069e-07	1.11935426e-06	1.32886044e-06	1.54627588e-06	1.79042809e-06	2.06193566e-06	2.34369317e-06	2.65451290e-06	2.97706668e-06	3.33051410e-06	3.71562524e-06	4.11527507e-06	4.54862164e-06	4.99832788e-06	5.48391357e-06	6.00633205e-06	6.54847285e-06	7.12987220e-06	7.73322051e-06	8.37843309e-06	9.04800371e-06	9.76223803e-06	1.05224098e-05	1.13112796e-05	1.21492017e-05	1.30187571e-05	1.39407126e-05	1.49166296e-05	1.59293895e-05	1.69998387e-05	1.81106994e-05	1.92832572e-05	2.05000813e-05	2.17829118e-05	2.31338126e-05	2.45357126e-05	2.60104850e-05	2.75409330e-05	2.91291583e-05	3.07773422e-05	3.24877483e-05	3.42627255e-05	3.61047116e-05	3.80162363e-05	3.99999247e-05	4.20585012e-05	4.41947930e-05	4.64117340e-05	4.87123688e-05	5.10998571e-05	5.35774777e-05	5.61486333e-05	5.88168550e-05	6.15858073e-05	6.44592929e-05	6.74412582e-05	7.05357985e-05	7.37471638e-05	7.70797643e-05	8.05381770e-05	8.41271515e-05	8.78516168e-05	9.17166879e-05	9.57276729e-05	9.98900805e-05	1.04209627e-04	1.08692245e-04	1.13344090e-04	1.18171552e-04	1.23181260e-04	1.28380094e-04	1.33775194e-04	1.39373969e-04	1.45184109e-04	1.51213594e-04	1.57470703e-04	1.63964030e-04	1.70702493e-04	1.77695346e-04	1.84952193e-04	1.92483000e-04	2.00298109e-04	2.08408255e-04	2.16824574e-04	2.25558625e-04	2.34622404e-04	2.44028358e-04	2.53789405e-04	2.63918951e-04	2.74430907e-04	2.85339710e-04	2.96660341e-04	3.08408348e-04	3.20599865e-04	3.33251636e-04	3.46381036e-04	3.60006096e-04	3.74145529e-04	3.88818752e-04	4.04045919e-04	4.19847941e-04	4.36246520e-04	4.53264177e-04	4.70924284e-04	4.89251094e-04	5.08269777e-04	5.28006453e-04	5.48488226e-04	5.69743227e-04	5.91800644e-04	6.14690773e-04
m=3, nu=3.90001608e+132.12795572e-23	4.33624592e-23	6.62790337e-23	9.00607535e-23	1.14740280e-22	1.40351506e-22	1.66929606e-22	1.94511081e-22	2.23133810e-22	2.52837103e-22	2.83661753e-22	3.15650094e-22	3.48846057e-22	3.83295232e-22	4.19044931e-22	4.56144251e-22	4.94644142e-22	5.34597479e-22	5.76059132e-22	6.19086043e-22	6.63737304e-22	7.10074237e-22	7.58160480e-22	8.08062072e-22	8.59847546e-22	9.13588023e-22	9.69357307e-22	1.02723199e-21	1.08729156e-21	2.55309000e-08	5.20256413e-08	1.05476878e-07	1.86371807e-07	2.70320677e-07	3.83282558e-07	5.25819661e-07	6.73737818e-07	8.52962491e-07	1.06414109e-06	1.28329210e-06	1.53631045e-06	1.82393983e-06	2.12242777e-06	2.45764459e-06	2.83044236e-06	3.21731397e-06	3.64411357e-06	4.08702568e-06	4.57238374e-06	5.10124738e-06	5.65007666e-06	6.24520623e-06	6.86280310e-06	7.52970058e-06	8.24720963e-06	8.99180604e-06	9.79034810e-06	1.06190367e-05	1.15052522e-05	1.24249240e-05	1.34059702e-05	1.44501415e-05	1.55337323e-05	1.66847289e-05	1.78791779e-05	1.91456335e-05	2.04862415e-05	2.18774601e-05	2.33479537e-05	2.48739613e-05	2.64847515e-05	2.81563521e-05	2.99186569e-05	3.17745021e-05	3.37004092e-05	3.57264554e-05	3.78289888e-05	4.00108970e-05	4.22751764e-05	4.46249368e-05	4.70634052e-05	4.95939305e-05	5.22199881e-05	5.49451845e-05	5.77732624e-05	6.07081057e-05	6.37537451e-05	6.69143633e-05	7.01943009e-05	7.35980626e-05	7.71303230e-05	8.07959330e-05	8.45999270e-05	8.85475292e-05	9.26441610e-05	9.68954486e-05	1.01307231e-04	1.05885566e-04	1.10636743e-04	1.15567285e-04	1.20683965e-04	1.25993810e-04	1.31504112e-04	1.37222439e-04	1.43156643e-04	1.49314875e-04	1.55705593e-04	1.62337572e-04	1.69219922e-04	1.76362094e-04	1.83773896e-04	1.91465509e-04	1.99447495e-04	2.07730817e-04	2.16326850e-04	2.25247400e-04	2.34504718e-04	2.44111518e-04	2.54080993e-04	2.64426836e-04	2.75163254e-04	2.86304993e-04	2.97867354e-04	3.09866217e-04	3.22318060e-04	3.35239985e-04	3.48649737e-04	3.62565734e-04	3.77007087e-04	3.91993629e-04	4.07545942e-04	4.23685385e-04	4.40434123e-04	4.57815159e-04	4.75852363e-04	4.94570507e-04	5.13995297e-04	5.34153411e-04	5.55072532e-04	5.76781392e-04	5.99309803e-04	6.22688705e-04	6.46950207e-04	6.72127627e-04	6.98255544e-04	7.25369841e-04	7.53507755e-04	7.82707931e-04	8.13010470e-04	8.44456988e-04
m=4, nu=4.57373246e+132.49555385e-23	5.08531972e-23	7.77285430e-23	1.05618485e-22	1.34561327e-22	1.64596818e-22	1.95766207e-22	2.28112301e-22	2.61679523e-22	2.96513973e-22	3.32663492e-22	3.70177725e-22	4.09108194e-22	4.49508363e-22	4.91433718e-22	5.34941837e-22	5.80092471e-22	6.26947630e-22	6.75571663e-22	7.26031347e-22	7.78395983e-22	8.32737486e-22	8.89130487e-22	9.47652433e-22	1.00838370e-21	1.07140768e-21	1.13681095e-21	1.20468331e-21	1.27511799e-21	3.49888577e-08	7.12986129e-08	1.44564803e-07	2.55467459e-07	3.70556906e-07	5.25445944e-07	7.20915328e-07	9.23764061e-07	1.16957725e-06	1.45925085e-06	1.75986019e-06	2.10696299e-06	2.50158600e-06	2.91110680e-06	3.37106070e-06	3.88262218e-06	4.41349610e-06	4.99920456e-06	5.60702465e-06	6.27314080e-06	6.99901130e-06	7.75228482e-06	8.56915379e-06	9.41686115e-06	1.03322873e-05	1.13172348e-05	1.23393661e-05	1.34356001e-05	1.45732191e-05	1.57898617e-05	1.70524349e-05	1.83993180e-05	1.98329170e-05	2.13206371e-05	2.29009543e-05	2.45409316e-05	2.62798266e-05	2.81205876e-05	3.00308409e-05	3.20499975e-05	3.41453813e-05	3.63572344e-05	3.86525892e-05	4.10725482e-05	4.36210077e-05	4.62656764e-05	4.90479102e-05	5.19351788e-05	5.49314475e-05	5.80408310e-05	6.12675999e-05	6.46161856e-05	6.80911869e-05	7.16973763e-05	7.54397063e-05	7.93233166e-05	8.33535408e-05	8.75359138e-05	9.18761794e-05	9.63802986e-05	1.01054457e-04	1.05905074e-04	1.10938811e-04	1.16162582e-04	1.21583560e-04	1.27209191e-04	1.33047200e-04	1.39105605e-04	1.45392727e-04	1.51917200e-04	1.58687985e-04	1.65714380e-04	1.73006035e-04	1.80572964e-04	1.88425560e-04	1.96574606e-04	2.05031295e-04	2.13807240e-04	2.22914494e-04	2.32365565e-04	2.42173432e-04	2.52351565e-04	2.62913943e-04	2.73875071e-04	2.85250002e-04	2.97054360e-04	3.09304355e-04	3.22016811e-04	3.35209188e-04	3.48899602e-04	3.63106856e-04	3.77850461e-04	3.93150666e-04	4.09028484e-04	4.25505721e-04	4.42605005e-04	4.60349820e-04	4.78764537e-04	4.97874445e-04	5.17705789e-04	5.38285806e-04	5.59642758e-04	5.81805976e-04	6.04805899e-04	6.28674114e-04	6.53443401e-04	6.79147776e-04	7.05822542e-04	7.33504332e-04	7.62231164e-04	7.92042489e-04	8.22979250e-04	8.55083934e-04	8.88400633e-04	9.22975101e-04	9.58854823e-04	9.96089075e-04	1.03472899e-03	1.07482764e-03	1.11644009e-03	1.15962349e-03
m=5, nu=5.36383137e+130.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.78875302e-08	9.75829079e-08	1.97884649e-07	3.49746598e-07	5.07341632e-07	7.19480757e-07	9.87251841e-07	1.26513180e-06	1.60192825e-06	1.99888377e-06	2.41082514e-06	2.88654969e-06	3.42747685e-06	3.98882506e-06	4.61938242e-06	5.32076901e-06	6.04863432e-06	6.85176518e-06	7.68521579e-06	8.59868981e-06	9.59419464e-06	1.06272817e-05	1.17476776e-05	1.29103706e-05	1.41660376e-05	1.55171569e-05	1.69192837e-05	1.84231561e-05	1.99838027e-05	2.16529540e-05	2.33851191e-05	2.52330494e-05	2.72000506e-05	2.92413098e-05	3.14097167e-05	3.36599852e-05	3.60460816e-05	3.85720548e-05	4.11933884e-05	4.39642628e-05	4.68397431e-05	4.98751536e-05	5.30251567e-05	5.63462604e-05	5.98438147e-05	6.34734085e-05	6.72918996e-05	7.12545462e-05	7.53667905e-05	7.96342800e-05	8.40628755e-05	8.86586591e-05	9.34279425e-05	9.83772757e-05	1.03513456e-04	1.08843537e-04	1.14374839e-04	1.20114958e-04	1.26071778e-04	1.32253479e-04	1.38668552e-04	1.45325806e-04	1.52234385e-04	1.59403776e-04	1.66843825e-04	1.74564751e-04	1.82577156e-04	1.90892046e-04	1.99520839e-04	2.08475386e-04	2.17767984e-04	2.27411396e-04	2.37418865e-04	2.47804136e-04	2.58581471e-04	2.69765672e-04	2.81372097e-04	2.93416688e-04	3.05915986e-04	3.18887157e-04	3.32348014e-04	3.46317046e-04	3.60813435e-04	3.75857091e-04	3.91468675e-04	4.07669626e-04	4.24482195e-04	4.41929471e-04	4.60035415e-04	4.78824894e-04	4.98323713e-04	5.18558650e-04	5.39557495e-04	5.61349088e-04	5.83963356e-04	6.07431356e-04	6.31785319e-04	6.57058692e-04	6.83286184e-04	7.10503814e-04	7.38748963e-04	7.68060422e-04	7.98478445e-04	8.30044808e-04	8.62802862e-04	8.96797597e-04	9.32075699e-04	9.68685618e-04	1.00667763e-03	1.04610392e-03	1.08701863e-03	1.12947794e-03	1.17354018e-03	1.21926586e-03	1.26671776e-03	1.31596107e-03	1.36706341e-03	1.42009497e-03	1.47512856e-03	1.53223978e-03	1.59150707e-03
m=6, nu=6.29041756e+136.86444864e-23	1.39880436e-22	2.13805681e-22	2.90521748e-22	3.70133996e-22	4.52751762e-22	5.38488509e-22	6.27461986e-22	7.19794384e-22	8.15612510e-22	9.15047957e-22	1.01823729e-21	1.12532221e-21	1.23644980e-21	1.35177268e-21	1.47144922e-21	1.59564378e-21	1.72452692e-21	1.85827566e-21	1.99707367e-21	2.14111158e-21	2.29058720e-21	2.44570581e-21	2.60668046e-21	2.77373221e-21	2.94709048e-21	3.12699338e-21	3.31368795e-21	3.50743061e-21	6.54240858e-08	1.33318058e-07	2.70398775e-07	4.78012476e-07	6.93463999e-07	9.83568649e-07	1.34984876e-06	1.72995665e-06	2.19076759e-06	2.73400992e-06	3.29776070e-06	3.94893230e-06	4.68949062e-06	5.45800646e-06	6.32141991e-06	7.28196814e-06	8.27877894e-06	9.37882246e-06	1.05203948e-05	1.17717380e-05	1.31356164e-05	1.45509839e-05	1.60861366e-05	1.76792442e-05	1.93999174e-05	2.12515637e-05	2.31731132e-05	2.52342768e-05	2.73732534e-05	2.96611236e-05	3.20353654e-05	3.45684682e-05	3.72649712e-05	4.00632724e-05	4.30360605e-05	4.61210770e-05	4.93924943e-05	5.28558703e-05	5.64499954e-05	6.02493424e-05	6.41921222e-05	6.83543821e-05	7.26737754e-05	7.72279786e-05	8.20243335e-05	8.70017601e-05	9.22384190e-05	9.76727721e-05	1.03312283e-04	1.09164696e-04	1.15238048e-04	1.21540682e-04	1.28081253e-04	1.34868743e-04	1.41912474e-04	1.49222119e-04	1.56807718e-04	1.64679687e-04	1.72848839e-04	1.81326393e-04	1.90123990e-04	1.99253714e-04	2.08728103e-04	2.18560169e-04	2.28763414e-04	2.39351852e-04	2.50340023e-04	2.61743020e-04	2.73576502e-04	2.85856720e-04	2.98600541e-04	3.11825466e-04	3.25549658e-04	3.39791965e-04	3.54571947e-04	3.69909901e-04	3.85826893e-04	4.02344783e-04	4.19486255e-04	4.37274852e-04	4.55735002e-04	4.74892059e-04	4.94772332e-04	5.15403125e-04	5.36812769e-04	5.59030670e-04	5.82087340e-04	6.06014443e-04	6.30844842e-04	6.56612637e-04	6.83353215e-04	7.11103303e-04	7.39901011e-04	7.69785888e-04	8.00798978e-04	8.32982872e-04	8.66381771e-04	9.01041543e-04	9.37009789e-04	9.74335907e-04	1.01307116e-03	1.05326874e-03	1.09498386e-03	1.13827381e-03	1.18319803e-03	1.22981824e-03	1.27819844e-03	1.32840510e-03	1.38050715e-03	1.43457616e-03	1.49068637e-03	1.54891486e-03	1.60934158e-03	1.67204954e-03	1.73712484e-03	1.80465686e-03	1.87473834e-03	1.94746554e-03	2.02293833e-03	2.10126036e-03	2.18253920e-03
m=7, nu=7.37706880e+130.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.91657675e-08	1.81697716e-07	3.68612566e-07	6.51824996e-07	9.45729246e-07	1.34162731e-06	1.84166121e-06	2.36057235e-06	2.98986505e-06	3.73195223e-06	4.50205465e-06	5.39182300e-06	6.40398656e-06	7.45436126e-06	8.63471146e-06	9.94813085e-06	1.13111344e-05	1.28155873e-05	1.43768363e-05	1.60885167e-05	1.79544366e-05	1.98907986e-05	2.19913545e-05	2.41712103e-05	2.65259403e-05	2.90602283e-05	3.16901905e-05	3.45115682e-05	3.74394584e-05	4.05714961e-05	4.38217743e-05	4.72898739e-05	5.09820252e-05	5.48135623e-05	5.88843578e-05	6.31088337e-05	6.75889084e-05	7.23322058e-05	7.72545719e-05	8.24583495e-05	8.78585799e-05	9.35597746e-05	9.94762005e-05	1.05714612e-04	1.12285076e-04	1.19103587e-04	1.26277572e-04	1.33722389e-04	1.41448262e-04	1.49465802e-04	1.57786020e-04	1.66420342e-04	1.75380627e-04	1.84679180e-04	1.94328771e-04	2.04342653e-04	2.14734579e-04	2.25518820e-04	2.36710187e-04	2.48324050e-04	2.60376359e-04	2.72883667e-04	2.85863149e-04	2.99332632e-04	3.13310615e-04	3.27816293e-04	3.42869589e-04	3.58491176e-04	3.74702509e-04	3.91525851e-04	4.08984307e-04	4.27101854e-04	4.45903373e-04	4.65414687e-04	4.85662590e-04	5.06674891e-04	5.28480448e-04	5.51109206e-04	5.74592245e-04	5.98961814e-04	6.24251381e-04	6.50495679e-04	6.77730751e-04	7.05993999e-04	7.35324240e-04	7.65761755e-04	7.97348345e-04	8.30127390e-04	8.64143909e-04	8.99444617e-04	9.36077995e-04	9.74094355e-04	1.01354591e-03	1.05448683e-03	1.09697336e-03	1.14106383e-03	1.18681880e-03	1.23430112e-03	1.28357598e-03	1.33471107e-03	1.38777660e-03	1.44284546e-03	1.49999328e-03	1.55929854e-03	1.62084269e-03	1.68471025e-03	1.75098894e-03	1.81976977e-03	1.89114722e-03	1.96521930e-03	2.04208775e-03	2.12185813e-03	2.20464000e-03	2.29054705e-03	2.37969725e-03	2.47221305e-03	2.56822150e-03	2.66785446e-03	2.77124875e-03	2.87854638e-03	2.98989471e-03
m=8, nu=8.65143587e+139.44092131e-23	1.92382558e-22	2.94054587e-22	3.99564934e-22	5.09058501e-22	6.22685664e-22	7.40602474e-22	8.62970873e-22	9.89958917e-22	1.12174101e-21	1.25849813e-21	1.40041810e-21	1.54769582e-21	1.70053357e-21	1.85914123e-21	2.02373665e-21	2.19454586e-21	2.37180345e-21	2.55575287e-21	2.74664673e-21	2.94474721e-21	3.15032636e-21	3.36366653e-21	3.58506070e-21	3.81481294e-21	4.05323877e-21	4.30066564e-21	4.55743336e-21	4.82389456e-21	1.21125289e-07	2.46823293e-07	5.00896889e-07	8.86094102e-07	1.28583326e-06	1.82458343e-06	2.50537899e-06	3.21187591e-06	4.06904203e-06	5.08026205e-06	6.12965759e-06	7.34257431e-06	8.72281317e-06	1.01551587e-05	1.17652534e-05	1.35573833e-05	1.54171697e-05	1.74705047e-05	1.96013571e-05	2.19380926e-05	2.44859603e-05	2.71300150e-05	2.99988611e-05	3.29760117e-05	3.61926045e-05	3.96550770e-05	4.32482647e-05	4.71035900e-05	5.11044614e-05	5.53849245e-05	5.98269834e-05	6.45673762e-05	6.96146476e-05	7.48524634e-05	8.04179957e-05	8.61936378e-05	9.23193857e-05	9.88056875e-05	1.05536860e-04	1.12653504e-04	1.20038816e-04	1.27836384e-04	1.35928326e-04	1.44461319e-04	1.53449153e-04	1.62776296e-04	1.72590358e-04	1.82774920e-04	1.93343969e-04	2.04312021e-04	2.15694137e-04	2.27505951e-04	2.39763684e-04	2.52484170e-04	2.65684879e-04	2.79383941e-04	2.93600169e-04	3.08353087e-04	3.23662956e-04	3.39550803e-04	3.56038448e-04	3.73148532e-04	3.90904556e-04	4.09330905e-04	4.28452884e-04	4.48296754e-04	4.68889770e-04	4.90260212e-04	5.12437430e-04	5.35451881e-04	5.59335172e-04	5.84120104e-04	6.09840716e-04	6.36532331e-04	6.64231606e-04	6.92976583e-04	7.22806738e-04	7.53763041e-04	7.85888003e-04	8.19225746e-04	8.53822054e-04	8.89724439e-04	9.26982209e-04	9.65646533e-04	1.00577051e-03	1.04740925e-03	1.09061993e-03	1.13546189e-03	1.18199673e-03	1.23028835e-03	1.28040307e-03	1.33240972e-03	1.38637972e-03	1.44238720e-03	1.50050906e-03	1.56082514e-03	1.62341827e-03	1.68837441e-03	1.75578277e-03	1.82573593e-03	1.89832996e-03	1.97366455e-03	2.05184317e-03	2.13297319e-03	2.21716602e-03	2.30453730e-03	2.39520701e-03	2.48929968e-03	2.58694453e-03	2.68827566e-03	2.79343224e-03	2.90255869e-03	3.01580488e-03	3.13332632e-03	3.25528443e-03	3.38184670e-03	3.51318694e-03	3.64948553e-03	3.79092966e-03	3.93771357e-03	4.09003887e-03
m=9, nu=1.01459461e+140.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.63818252e-07	3.33820962e-07	6.77743492e-07	1.19957051e-06	1.74109751e-06	2.47147006e-06	3.39502134e-06	4.35343847e-06	5.51695474e-06	6.89034583e-06	8.31558512e-06	9.96374945e-06	1.18401533e-05	1.37873951e-05	1.59772191e-05	1.84155783e-05	2.09459904e-05	2.37407496e-05	2.66410164e-05	2.98225588e-05	3.32926189e-05	3.68936806e-05	4.08019874e-05	4.48578404e-05	4.92410180e-05	5.39603662e-05	5.88578789e-05	6.41138297e-05	6.95682030e-05	7.54049141e-05	8.14619724e-05	8.79270266e-05	9.48117851e-05	1.01956457e-04	1.09549350e-04	1.17428889e-04	1.25787287e-04	1.34638843e-04	1.43824563e-04	1.53537531e-04	1.63617182e-04	1.74260722e-04	1.85306075e-04	1.96954705e-04	2.09225468e-04	2.21959477e-04	2.35359495e-04	2.49265389e-04	2.63696259e-04	2.78671921e-04	2.94212944e-04	3.10340671e-04	3.27077251e-04	3.44445670e-04	3.62469780e-04	3.81174335e-04	4.00585024e-04	4.20728504e-04	4.41632440e-04	4.63325540e-04	4.85837597e-04	5.09199527e-04	5.33443416e-04	5.58602560e-04	5.84711509e-04	6.11806123e-04	6.39923611e-04	6.69102589e-04	6.99383130e-04	7.30806820e-04	7.63416817e-04	7.97257903e-04	8.32376557e-04	8.68821009e-04	9.06641309e-04	9.45889400e-04	9.86619182e-04	1.02888659e-03	1.07274968e-03	1.11826869e-03	1.16550612e-03	1.21452686e-03	1.26539823e-03	1.31819010e-03	1.37297495e-03	1.42982805e-03	1.48882746e-03	1.55005421e-03	1.61359239e-03	1.67952926e-03	1.74795538e-03	1.81896471e-03	1.89265479e-03	1.96912681e-03	2.04848579e-03	2.13084074e-03	2.21630474e-03	2.30499518e-03	2.39703385e-03	2.49254716e-03	2.59166628e-03	2.69452735e-03	2.80127162e-03	2.91204569e-03	3.02700171e-03	3.14629753e-03	3.27009701e-03	3.39857015e-03	3.53189341e-03	3.67024988e-03	3.81382958e-03	3.96282968e-03	4.11745484e-03	4.27791739e-03	4.44443772e-03	4.61724452e-03	4.79657510e-03	4.98267577e-03	5.17580210e-03	5.37621933e-03	5.58420269e-03
